,Pop,Sq.Ki.,Sq.Mi.,Pop.per.Sq.Ki.,Name
,285720,1959.4,756.5,145.8,Richland County
,16357,1169.1,451.4,14.0,Saluda County
,226800,2100.5,811.0,108.0,Spartanburg County
,102637,1723.5,665.5,59.5,Sumter County
,30337,1331.8,514.2,22.8,Union County
,36815,2419.1,934.0,15.2,Williamsburg County
,131497,1767.8,682.5,74.4,York County
,696004,196570.6,75896.0,3.5,South Dakota
,3135,1834.3,708.2,1.7,Aurora County
,18253,3261.9,1259.4,5.6,Beadle County
,3206,3070.2,1185.4,1.0,Bennett County
,7089,1459.3,563.4,4.9,Bon Homme County
,25207,2057.8,794.5,12.2,Brookings County
,35580,4436.2,1712.8,8.0,Brown County
,5485,2121.3,819.0,2.6,Brule County
,1759,1218.9,470.6,1.4,Buffalo County
,7914,5823.8,2248.6,1.4,Butte County
,1965,1905.8,735.8,1.0,Campbell County
,9131,2844.5,1098.3,3.2,Charles Mix County
,4403,2481.2,958.0,1.8,Clark County
,13186,1066.1,411.6,12.4,Clay County
,22698,1781.3,687.8,12.7,Codington County
,4195,6405.2,2473.1,0.7,Corson County
,6179,4034.6,1557.8,1.5,Custer County
,17503,1127.8,435.5,15.5,Davison County
,6978,2664.2,1028.6,2.6,Day County
,4522,1615.1,623.6,2.8,Deuel County
,5523,5964.3,2302.8,0.9,Dewey County
,3746,1123.1,433.6,3.3,Douglas County
,4356,2967.2,1145.7,1.5,Edmunds County
,7353,4506.4,1739.9,1.6,Fall River County
,2744,2590.6,1000.2,1.1,Faulk County
,8372,1767.7,682.5,4.7,Grant County
,5359,2631.4,1016.0,2.0,Gregory County
,2624,4696.0,1813.1,0.6,Haakon County
,4974,1324.0,511.2,3.8,Hamlin County
,4272,3721.1,1436.7,1.1,Hand County
,2994,1125.9,434.7,2.7,Hanson County
,1669,6916.8,2670.6,0.2,Harding County
,14817,1919.1,741.0,7.7,Hughes County
,8262,2105.8,813.0,3.9,Hutchinson County
,1696,2230.2,861.1,0.8,Hyde County
,2811,4841.5,1869.3,0.6,Jackson County
,2425,1373.4,530.3,1.8,Jerauld County
,1324,2514.0,970.6,0.5,Jones County
,5925,2171.5,838.4,2.7,Kingsbury County
,10550,1458.9,563.3,7.2,Lake County
,20655,2072.2,800.1,10.0,Lawrence County
,15427,1497.4,578.1,10.3,Lincoln County
,3638,4247.8,1640.1,0.9,Lyman County
,5688,1488.1,574.6,3.8,McCook County
,3228,2944.9,1137.0,1.1,McPherson County
,4844,2172.7,838.9,2.2,Marshall County
,21878,8989.5,3470.8,2.4,Meade County
,2137,3384.1,1306.6,0.6,Mellette County
,3272,1477.3,570.4,2.2,Miner County
,123809,2095.8,809.2,59.1,Minnehaha County
,6507,1346.0,519.7,4.8,Moody County
,81343,7190.8,2776.4,11.3,Pennington County
,3932,7437.9,2871.8,0.5,Perkins County
,3190,2244.3,866.5,1.4,Potter County
,9914,2852.5,1101.3,3.5,Roberts County
,2833,1473.8,569.0,1.9,Sanborn County
,9902,5423.3,2094.0,1.8,Shannon County
,7981,3895.3,1504.0,2.0,Spink County
,2453,3738.3,1443.4,0.7,Stanley County
,1589,2608.0,1007.0,0.6,Sully County
,8352,3595.5,1388.2,2.3,Todd County
,6924,4179.3,1613.6,1.7,Tripp County
,8576,1597.7,616.9,5.4,Turner County
,10189,1192.4,460.4,8.5,Union County
,6087,1833.3,707.8,3.3,Walworth County
,19252,1351.0,521.6,14.3,Yankton County
,2220,5082.9,1962.5,0.4,Ziebach County
,4877185,106758.5,41219.5,45.7,Tennessee
,68250,874.2,337.5,78.1,Anderson County
,30411,1226.9,473.7,24.8,Bedford County
,14524,1022.6,394.8,14.2,Benton County
,9669,1052.4,406.3,9.2,Bledsoe County
,85969,1446.7,558.6,59.4,Blount County
,73712,851.5,328.8,86.6,Bradley County
,35079,1243.4,480.1,28.2,Campbell County
,10467,688.1,265.7,15.2,Cannon County
,27514,1551.6,599.1,17.7,Carroll County
,51505,883.4,341.1,58.3,Carter County
,27140,784.0,302.7,34.6,Cheatham County
,12819,747.3,288.5,17.2,Chester County
,26137,1124.8,434.3,23.2,Claiborne County
,7238,611.5,236.1,11.8,Clay County
,29141,1125.2,434.4,25.9,Cocke County
,40339,1110.9,428.9,36.3,Coffee County
,13378,687.1,265.3,19.5,Crockett County
,34736,1765.4,681.6,19.7,Cumberland County
,510784,1300.9,502.3,392.7,Davidson County
,10472,864.8,333.9,12.1,Decatur County
,14360,788.9,304.6,18.2,DeKalb County
,35061,1268.9,489.9,27.6,Dickson County
,34854,1322.4,510.6,26.4,Dyer County
,25559,1824.8,704.5,14.0,Fayette County
,14669,1291.5,498.7,11.4,Fentress County
,34725,1432.6,553.1,24.2,Franklin County
,46315,1561.0,602.7,29.7,Gibson County
,25741,1582.4,611.0,16.3,Giles County
,17095,726.1,280.4,23.5,Grainger County
,55853,1610.6,621.8,34.7,Greene County
,13362,933.9,360.6,14.3,Grundy County
,50480,417.1,161.0,121.0,Hamblen County
,285536,1405.1,542.5,203.2,Hamilton County
,6739,575.8,222.3,11.7,Hancock County
,23377,1729.0,667.6,13.5,Hardeman County
,22633,1496.8,577.9,15.1,Hardin County
,44565,1260.5,486.7,35.4,Hawkins County
,19437,1381.1,533.2,14.1,Haywood County
,21844,1347.0,520.1,16.2,Henderson County
,27888,1454.9,561.8,19.2,Henry County
,16754,1586.9,612.7,10.6,Hickman County
,7018,518.6,200.2,13.5,Houston County
,15795,1378.5,532.2,11.5,Humphreys County
,9297,800.0,308.9,11.6,Jackson County
,33016,709.2,273.8,46.6,Jefferson County
,13766,773.1,298.5,17.8,Johnson County
,335749,1317.0,508.5,254.9,Knox County
,7129,423.3,163.4,16.8,Lake County
,23491,1218.5,470.5,19.3,Lauderdale County
,35303,1598.6,617.2,22.1,Lawrence County
,9247,730.7,282.1,12.7,Lewis County
,28157,1477.1,570.3,19.1,Lincoln County
,31255,592.1,228.6,52.8,Loudon County
,42383,1114.5,430.3,38.0,McMinn County
,22422,1450.6,560.1,15.5,McNairy County
,15906,795.5,307.1,20.0,Macon County
,77982,1442.9,557.1,54.0,Madison County
,24860,1294.6,499.8,19.2,Marion County
,21539,972.3,375.4,22.2,Marshall County
,54812,1587.5,612.9,34.5,Maury County
,8033,504.7,194.9,15.9,Meigs County
,30541,1645.3,635.2,18.6,Monroe County
,100498,1396.4,539.2,72.0,Montgomery County
,4721,334.6,129.2,14.1,Moore County
,17300,1352.2,522.1,12.8,Morgan County
,31717,1411.4,544.9,22.5,Obion County
,17636,1122.4,433.4,15.7,Overton County
,6612,1074.7,414.9,6.2,Perry County
,4548,421.9,162.9,10.8,Pickett County
,13643,1126.9,435.1,12.1,Polk County
,51373,1038.5,401.0,49.5,Putnam County
,24344,818.3,315.9,29.7,Rhea County
,47227,935.0,361.0,50.5,Roane County
,41494,1234.2,476.5,33.6,Robertson County
,118570,1603.1,619.0,74.0,Rutherford County
,18358,1378.2,532.1,13.3,Scott County
,8863,688.6,265.9,12.9,Sequatchie County
,51043,1534.1,592.3,33.3,Sevier County
,826330,1955.1,754.9,422.6,Shelby County
,14143,814.4,314.4,17.4,Smith County
,9479,1185.4,457.7,8.0,Stewart County
,143596,1069.8,413.0,134.2,Sullivan County
,103281,1371.0,529.4,75.3,Sumner County
,37568,1189.8,459.4,31.6,Tipton County
,5920,295.9,114.2,20.0,Trousdale County
,16549,482.1,186.1,34.3,Unicoi County
,13694,579.1,223.6,23.6,Union County
,4846,708.3,273.5,6.8,Van Buren County
,32992,1120.7,432.7,29.4,Warren County
,92315,844.9,326.2,109.3,Washington County
,13935,1901.1,734.0,7.3,Wayne County
,31972,1502.9,580.3,21.3,Weakley County
,20090,975.8,376.7,20.6,White County
,81021,1509.3,582.7,53.7,Williamson County
,67675,1477.9,570.6,45.8,Wilson County
,16986510,678358.1,261914.3,25.0,Texas
,48024,2773.7,1070.9,17.3,Anderson County
,14338,3886.9,1500.7,3.7,Andrews County
,69884,2076.2,801.6,33.7,Angelina County
,17892,652.6,252.0,27.4,Aransas County
,7973,2356.3,909.8,3.4,Archer County
,2021,2366.4,913.7,0.9,Armstrong County
,30533,3191.4,1232.2,9.6,Atascosa County
,19832,1690.4,652.6,11.7,Austin County
,7064,2141.3,826.7,3.3,Bailey County
,10562,2050.7,791.8,5.2,Bandera County
,38263,2301.1,888.5,16.6,Bastrop County
,4385,2255.5,870.8,1.9,Baylor County
,25135,2279.8,880.2,11.0,Bee County
,191088,2742.8,1059.0,69.7,Bell County
,1185394,3229.5,1246.9,367.0,Bexar County
,5972,1842.3,711.3,3.2,Blanco County
,799,2328.1,898.9,0.3,Borden County
,15125,2562.2,989.3,5.9,Bosque County
,81665,2299.8,887.9,35.5,Bowie County
,191707,3592.0,1386.9,53.4,Brazoria County
,121862,1517.3,585.8,80.3,Brazos County
,8681,16040.0,6193.0,0.5,Brewster County
,1971,2331.8,900.3,0.8,Briscoe County
,8204,2443.3,943.3,3.4,Brooks County
,34371,2444.9,944.0,14.1,Brown County
,13625,1723.9,665.6,7.9,Burleson County
,22677,2577.8,995.3,8.8,Burnet County
,26392,1413.6,545.8,18.7,Caldwell County
,19053,1327.0,512.4,14.4,Calhoun County
,11859,2327.6,898.7,5.1,Callahan County
,260120,2345.4,905.6,110.9,Cameron County
,9904,511.6,197.5,19.4,Camp County
,6576,2391.2,923.2,2.8,Carson County
,29982,2428.0,937.5,12.3,Cass County
,9070,2326.9,898.4,3.9,Castro County
,20088,1552.4,599.4,12.9,Chambers County
,41049,2725.5,1052.3,15.1,Cherokee County
,5953,1839.9,710.4,3.2,Childress County
,10024,2843.5,1097.9,3.5,Clay County
,4377,2007.9,775.2,2.2,Cochran County
,3424,2328.1,898.9,1.5,Coke County
,9710,3296.9,1272.9,2.9,Coleman County
,264036,2195.6,847.7,120.3,Collin County
,3573,2379.8,918.8,1.5,Collingsworth County
,18383,2494.3,963.0,7.4,Colorado County
,51832,1454.3,561.5,35.6,Comal County
,13381,2428.8,937.8,5.5,Comanche County
,3044,2568.0,991.5,1.2,Concho County
,30777,2263.1,873.8,13.6,Cooke County
,64213,2724.3,1051.9,23.6,Coryell County
,2247,2334.2,901.2,1.0,Cottle County
,4652,2034.8,785.6,2.3,Crane County
,4078,7271.8,2807.6,0.6,Crockett County
,7304,2329.9,899.6,3.1,Crosby County
,3407,9874.9,3812.7,0.3,Culberson County
,5461,3897.4,1504.8,1.4,Dallam County
,1852810,2278.9,879.9,813.0,Dallas County
,14349,2336.4,902.1,6.1,Dawson County
,19153,3878.4,1497.4,4.9,Deaf Smith County
,4857,717.9,277.2,6.8,Delta County
,273525,2301.2,888.5,118.9,Denton County
,18840,2355.0,909.3,8.0,DeWitt County
,2571,2342.0,904.3,1.1,Dickens County
,10433,3447.3,1331.0,3.0,Dimmit County
,3696,2408.2,929.8,1.5,Donley County
,12918,4643.5,1792.9,2.8,Duval County
,18488,2398.6,926.1,7.7,Eastland County
,118934,2333.9,901.1,51.0,Ector County
,2266,5490.7,2119.9,0.4,Edwards County
,85167,2434.6,940.0,35.0,Ellis County
,591610,2623.9,1013.1,225.5,El Paso County
,27991,2813.8,1086.4,9.9,Erath County
,17712,1992.1,769.1,8.9,Falls County
,24804,2309.1,891.6,10.7,Fannin County
,20095,2460.8,950.1,8.2,Fayette County
,4842,2334.2,901.2,2.1,Fisher County
,8497,2570.1,992.3,3.3,Floyd County
,1794,1830.4,706.7,1.0,Foard County
,225421,2266.4,875.0,99.5,Fort Bend County
,7802,739.9,285.7,10.5,Franklin County
,15818,2292.8,885.3,6.9,Freestone County
,13472,2934.8,1133.1,4.6,Frio County
,14123,3891.3,1502.4,3.6,Gaines County
,217399,1032.6,398.7,210.5,Galveston County
,5143,2319.7,895.6,2.2,Garza County
,17204,2748.4,1061.2,6.3,Gillespie County
,1447,2333.1,900.8,0.6,Glasscock County
,5980,2210.8,853.6,2.7,Goliad County
,17205,2765.7,1067.9,6.2,Gonzales County
,23967,2404.4,928.3,10.0,Gray County
,95021,2418.2,933.7,39.3,Grayson County
,104948,709.8,274.1,147.8,Gregg County
,18828,2056.0,793.8,9.2,Grimes County
