"","Pop","Sq.Ki.","Sq.Mi.","Pop.per.Sq.Ki.","Name","State"
"493","6280",733.1,283.1,"8.6","Miller County","Georgia "
"494","20275",1326.2,512,"15.3","Mitchell County","Georgia "
"495","17113",1024.8,395.7,"16.7","Monroe County","Georgia "
"496","7163",635.5,245.3,"11.3","Montgomery County","Georgia "
"497","12883",905.6,349.7,"14.2","Morgan County","Georgia "
"498","26147",892.1,344.4,"29.3","Murray County","Georgia "
"499","179278",560.2,216.3,"320.0","Muscogee County","Georgia "
"500","41808",716,276.4,"58.4","Newton County","Georgia "
"501","17618",481.1,185.8,"36.6","Oconee County","Georgia "
"502","9763",1142.6,441.1,"8.5","Oglethorpe County","Georgia "
"503","41611",812.1,313.6,"51.2","Paulding County","Georgia "
"504","21189",391.3,151.1,"54.1","Peach County","Georgia "
"505","14432",601.3,232.1,"24.0","Pickens County","Georgia "
"506","13328",888.4,343,"15.0","Pierce County","Georgia "
"507","10224",565.8,218.4,"18.1","Pike County","Georgia "
"508","33815",805.9,311.2,"42.0","Polk County","Georgia "
"509","8108",640.8,247.4,"12.7","Pulaski County","Georgia "
"510","14137",892.3,344.5,"15.8","Putnam County","Georgia "
"511","2209",392.5,151.6,"5.6","Quitman County","Georgia "
"512","11648",961.1,371.1,"12.1","Rabun County","Georgia "
"513","8023",1111.8,429.3,"7.2","Randolph County","Georgia "
"514","189719",839.3,324.1,"226.0","Richmond County","Georgia "
"515","54091",338.5,130.7,"159.8","Rockdale County","Georgia "
"516","3588",434.1,167.6,"8.3","Schley County","Georgia "
"517","13842",1679.7,648.5,"8.2","Screven County","Georgia "
"518","9010",616.6,238.1,"14.6","Seminole County","Georgia "
"519","54457",512.8,198,"106.2","Spalding County","Georgia "
"520","23257",464.3,179.3,"50.1","Stephens County","Georgia "
"521","5654",1188.1,458.7,"4.8","Stewart County","Georgia "
"522","30228",1257,485.3,"24.0","Sumter County","Georgia "
"523","6524",1018.5,393.2,"6.4","Talbot County","Georgia "
"524","1915",506.1,195.4,"3.8","Taliaferro County","Georgia "
"525","17722",1252.9,483.7,"14.1","Tattnall County","Georgia "
"526","7642",977.7,377.5,"7.8","Taylor County","Georgia "
